"","variable_code","short_name","long_name","quality","origin","var_type","grain","full_description","origin_tables","units","earliest_data"
"1",16,"Abuse_events","Number of child, youth and family abuse events","Good","CYF","count","person-period","Simple count of all recorded abuse events.  No attempt has been made at this stage to remove duplicates,
		 limit to particular types of abuse or any other filtering.","IDI_Clean.cyf_abuse_event","number of events",1964-06-11
"2",20,"ACC_claims","ACC Injury Claims","Good","ACC","count","person-period","Count by person of all ACC claims, rolled up into year ending March based on accident date.  No filtering or removal of duplicates has been done.","IDI_Clean.acc_clean.claims","number of claims",2015-03-31
"3",21,"ACC_value","Value of ACC injury claims","Good","ACC","continuous","person-period","Sum of values of ACC claims, rolled up into year ending March based on accident date.  No filtering or removal of duplicates has been done.","IDI_Clean.acc_clean.claims","dollars",NA
"4",6,"Age","Age on 30 September","Good","DIA","continuous","person-period","The ages of everyone on the spine on the last day of each month, back to 1990 and assuming everyone was born on the 
		15th of their birth month, are stored in intermediate.age_end_month.  The age on 30 September of year Y minus 1 is taken as 
		the average age of an individual in Year Ending March Y.  For example, if you are 12 on 30 September 2000, you were
		aged 11 on 30 September 1999 in the middle of ""year ending March 2000""","intermediate.age_end_month which in turn was generated from IDI_Clean.dia_clean.deaths, IDI_Clean.dia_clean.births","years",1990-01-31
"5",28,"Asian","Asian","Good","SNZ","category","person","Ethnicity as estimated by the best of the multiple sources available.","IDI_Clean.data.personal_detail",NA,NA
"6",8,"Benefits","Net Tier 1, 2 and 3 Benefits","Good","MSD","continuous","person-period","Combined Tier 1, Tier 2 and Tier 3 benefits for the period.  No duplications or overlapping spells have been removed.
		No adjustments have been made for family relationships - benefits are allocated to individuals, as per the summary tables
		in the msd_clean schema eg IDI_Clean.msd_clean.msd_first_tier_expenditure.","IDI_Clean.msd_clean.msd_first_tier_expenditure, IDI_Clean.msd_clean.msd_second_tier_expenditure,
		IDI_Clean.msd_clean.msd_third_tier_expenditure","dollars",1986-03-31
"7",32,"Birth_month_nbr","Birth month number","Moderate","SNZ","count","person","","IDI_Clean.data.personal_detail",NA,NA
"8",31,"Birth_year_nbr","Birth year number","Moderate","SNZ","count","person","","IDI_Clean.data.personal_detail",NA,NA
"9",23,"Born_NZ","Born in New Zealand","Good","DIA","category","person","Is the birth recorded by DIA.  If yes this usually means born in New Zealand, sometimes it means adopted (but not all adopted people will be found)","IDI_Clean.dia_clean.births",NA,NA
"10",12,"Days_NZ","Days spent in New Zealand","Good","SNZ","count","person-period","This is a rolled up version of the intermediate.spells_in_nz table, which aims to have spells in New Zealand for two arrival types
		(birth and border crossing) and three ""departure"" types (death, border crossing, and ""still in the country"" at time of latest movements 
		data).  There are problems in the movements data eg with people who appear to have departed twice in a row without arriving in between.
		These problems have been dealt with in the simplest way; an arrivial is treated as ""in the country"" until the next departure, so the 
		second departure is effectively ignored.  This means an underestimate of days in the country in a small number of cases.  Births and 
		deaths have also been de-duplicated, and the problem of a very small number of spine individuals with multiple births or deaths referred
		to the IDI team.","IDI_Clean.dia_clean.births, IDI_Clean.dia_clean.deaths, IDI_Clean.dol_clean.movements","number of days",1861-09-01
"11",18,"Education","Days in education","Good","MoE","count","person-period","Calculates days spent in education per march_ye. ""Education"" includes any spells identified in primary and secondary school, tertiary, 
		industry training and targeted training placement data.","IDI_Sandpit.intermediate.days_in_education, which draws from the following data originally in IDI_Clean:
		IDI_Clean.moe_clean.student_enrol,IDI_Clean.moe_clean.course,IDI_Clean.moe_clean.tec_it_learner,IDI_Clean.moe_clean.targeted_training",NA,1958-03-31
"12",25,"Europ","European","Good","SNZ","category","person","Ethnicity as estimated by the best of the multiple sources available.","IDI_Clean.data.personal_detail",NA,NA
"13",1,"Generic","Applies to all variables",NA,NA,NA,NA,"This is a place-holder variable for ""values"" such as ""No data"" that are shared across all variables.","None",NA,NA
"14",3,"Hospital","Discharges from a public hospital","Good","MOH","count","person-period","The total number of recorded discharges from a public hospital in the designated period.  
		Note that the same patient may be discharaged multiple times in a period, sometimes multiple times in a day.
		No filtering is done to limit the count to ""serious"" issues or to try to aggregate ""common"" events
		into a single one.","IDI_Clean.moh_clean.pub_fund_hosp_discharges_event","number of discharges",1988-03-31
